date,industrial_production_index,industrial_production_1m_growth_rate,industrial_production_12m_growth_rate,nominal_er_nat_currency_per_usd,nominal_er_growth_rate,real_er_nat_currency_per_usd,real_er_growth_rate,reserves_in_usd_italy,reserves_index_italy,reserves_in_usd_usa,reserves_index_usa,cpi_italy,inflation_rate_italy,cpi_usa,inflation_rate_usa
1978-11-01,91.8628318548572,0.6145397489539572,8.56376975169304,843.949999995,4.025687484874729,1561.8295644181178,3.422217690596674,25167.0514060898,841.8481821739354,17967.4706551914,83.65484216570087,16.702286508625,1.0332038034182478,30.909562015175,0.4470938897167098
1978-12-01,83.7808127300049,-8.797920727745312,10.259230164964595,842.179999999,-0.20972806398608101,1557.527221747492,-0.2754681284464433,25443.0080781287,851.0790459317176,18650.3049878909,86.83405416629452,16.7876884621257,0.5113189350248515,31.0471416680616,0.44510385756697524
1979-01-01,85.0820536230757,1.5531490453121188,6.3890132855649595,836.030000001,-0.7302476902808497,1534.2121648895352,-1.496927728287023,26392.6457365739,882.8448147373775,20468.7711339788,95.3006603655761,17.0682933445986,1.6714920765057428,31.3223009738346,0.8862629246674247
1979-02-01,92.2329095400425,8.404658341518179,9.232291813940297,840.079999998,0.48443237646915716,1536.6348854251262,0.1579130051915234,26488.2366904115,886.0423713133132,20291.4528861563,94.47508339264787,17.3245099583056,1.5011261438630186,31.6891800481987,1.1713030746705932
1979-03-01,90.0005054390862,-2.4203986538959943,6.588434893255957,841.219999998,0.1357013617754088,1533.7852531803746,-0.18544628081661463,31036.7528802406,1038.1921016972938,21657.9193470524,100.83722185413235,17.5563167968368,1.338028256436008,32.0101992382673,1.0130246020261024
1979-04-01,91.3972502509145,1.5519299641862938,8.842763719078794,843.899999998,0.3185849123898965,1537.0804049932553,0.21483788594576225,32525.2493709996,1087.9829192506975,21402.9589478695,99.65015037582236,17.77591874778,1.2508429500586837,32.3770783126314,1.146131805157613
1979-05-01,90.3825211141161,-1.1102403343783762,5.313673668103958,851.850000001,0.9420547461806983,1554.2717001752467,1.1184382499539236,33050.1239493651,1105.5401889735776,22298.9198216109,103.82165937215537,17.9711216767523,1.0981313075403065,32.789817271291,1.2747875354107485
1979-06-01,86.8488761200892,-3.909655263505374,-0.10984484415764717,845.259999997,-0.7736103778825165,1546.901507634456,-0.47418945734903906,35783.52810807,1196.9736781424988,21267.6540448184,99.02018355822163,18.1175265617827,0.8146674852232083,33.1566963456551,1.1188811188811432
1979-07-01,85.4521313082609,-1.6082474226804866,4.070950857807465,820.5,-2.92927619869483,1505.0278203687471,-2.7069394566524574,35267.6653932772,1179.7178589488944,20044.3007216382,93.32436631563407,18.2761363344011,0.8754493726145451,33.5235754200192,1.1065006915629505
1979-08-01,50.6170769414678,-40.765576976809115,7.915500127258879,818.409999996,-0.2547227305301658,1497.574968210628,-0.49519696960107495,36443.9974004811,1219.066646612514,20045.5821519623,93.33033253389405,18.4957382853443,1.2015775485863633,33.8445946100878,0.9575923392613372
1979-09-01,95.9456243817397,89.55188679245265,8.388401888064667,811.130000002,-0.8895296970999444,1462.7135173540562,-2.3278601470099303,38767.8076888819,1296.7990529814986,18557.2973552852,86.40101943507668,18.9715568499945,2.572584869603345,34.2114736844519,1.084010840108407
1979-10-01,98.2735324014534,2.4262784621126965,7.635983263598201,825.380000002,1.7568084030876507,1472.9132552988644,0.6973161746162582,38683.1735787337,1293.968007316732,18016.0106125323,83.88083961119605,19.3253587983803,1.864907298769758,34.486632990225,0.8042895442359921
1979-11-01,98.8346179241537,0.5709426627794834,7.589343729694598,825.5,0.014538757663107305,1466.4721255746688,-0.437305435403168,38379.0274700877,1283.7941953533266,19284.8149169743,89.78827231912648,19.5937695464702,1.3889043452709027,34.8076521802936,0.9308510638298406
1979-12-01,90.9316686469717,-7.996134798888765,8.535195212311208,811.079999998,-1.746820109267122,1430.2163768609435,-2.472310798237487,38322.4527287263,1281.9017470722963,18956.0257327357,88.25746100789037,19.9475822480609,1.8057408542627273,35.1745312546576,1.0540184453225132
1980-01-01,94.0952359558134,3.4790599973742564,10.593517609092086,804.509999997,-0.8100310698101465,1394.621730850298,-2.4887595042624944,39782.2190980833,1330.7315302921322,20989.3241255244,97.72430580695872,20.5819998321245,3.1804234526982444,35.6789899819083,1.4341590612779065
1980-02-01,101.341595791538,7.701091093631418,9.875744240228057,809.609999999,0.6339262410683499,1399.2522077760243,0.3320238616175253,39105.1342910184,1308.0827660484497,20886.581492989,97.24594583780224,20.9358125337152,1.719039473698114,36.1834487091589,1.413881748071888
1980-03-01,100.50593650241,-0.824596536694544,11.672635628067706,860.329999998,6.264744753531026,1493.8569065553793,6.761089834528122,41538.5645878579,1389.482006618428,21491.0579111444,100.06033080740102,21.1554144846584,1.048929677745014,36.733767320705,1.5209125475283969
1980-04-01,102.356324928336,1.8410737617291284,11.990595611285194,877.14,1.9539014101611185,1515.683710292804,1.4611040482956472,45168.1876108839,1510.894384040271,21644.9078200193,100.77664141623002,21.4970222986612,1.6147535858989093,37.1465062793647,1.1235955056182467
1980-05-01,96.3276400567697,-5.889899696757617,6.5777308149518765,842.549999997,-3.9434981876325326,1455.4235877511842,-3.975771602769207,44629.6191630368,1492.8790487719284,21917.5578757659,102.04607426059987,21.7166350028093,1.0215959266217878,37.5133853537288,0.9876543209876631
1980-06-01,99.3837654570092,3.1726360143759402,14.432989690721554,834.689999997,-0.932882321527273,1444.7239341925788,-0.7351573554704949,55082.9700046287,1842.547917866824,21942.9779029322,102.16442750025469,21.9118379317816,0.898863608229572,37.9261243123884,1.1002444987774807
1980-07-01,93.8087241995409,-5.609609609609645,9.779267951941817,831.689999997,-0.35941487258871474,1414.3313748185294,-2.103693214651081,57941.2996607561,1938.1602161149387,21844.600636646,101.70639226303071,22.3022545429311,1.7817611300566583,37.9261243123884,0.0
1980-08-01,45.6986251254572,-51.28531432934588,-9.716981132075574,847.449999995,1.894936815166326,1434.3260514567314,1.4137193725740183,56808.9499684015,1900.2826549055526,22691.4259369102,105.64913068153237,22.5706545378162,1.2034657499242485,38.2012836181614,0.725513905682984
1980-09-01,96.7812836708677,111.7816091954023,0.870971755630201,851.199999995,0.4425039825384447,1424.293225515806,-0.6994801447506305,60768.2532764827,2032.722972954765,22994.402033851,107.05975870235731,23.0220740804955,2.000028585449143,38.52230280823,0.8403361344538451
1980-10-01,96.2321361380122,-0.5674108794868182,-2.0772594752185847,873.409999996,2.6092575189297973,1450.7732814819453,1.85917165733549,61168.6784982206,2046.1173607031476,23966.3889154758,111.58523759306365,23.4124799384401,1.6957892524347207,38.8891818825941,0.9523809523809712
1980-11-01,100.135858817224,4.056568663937021,1.3165841285174729,909.679999999,4.152688886452638,1492.3849584512811,2.8682411993988577,61938.8956176441,2071.8814389578224,25673.0258480913,119.53117756268618,23.9004926374732,2.0844126735666713,39.2102010726627,0.8254716981132448
